MrotInHour,Salary,Class
2,17889,1
2,24626,1
14,4579,0
10,16710,1
2,5838,1
6,7346,1
3,8937,1
5,934,0
12,23146,1
2,7188,1
9,23637,1
2,6652,1
14,1804,0
14,21425,1
4,7819,1
13,22879,1
13,20482,1
8,22377,1
3,8861,1
3,19693,1
11,16846,1
5,8853,1
2,20223,1
5,9488,1
14,18947,1
9,19286,1
13,20587,1
9,7404,1
3,16665,1
13,8063,0
13,13208,1
10,8692,1
8,9005,1
8,2725,0
11,24998,1
10,8314,1
2,7024,1
2,11713,1
14,24697,1
12,20617,1
4,22491,1
10,16016,1
6,10176,1
3,12432,1
7,3641,0
4,23338,1
3,23144,1
9,22474,1
11,24177,1
5,19941,1
13,16893,1
7,16963,1
8,18639,1
6,21653,1
6,1811,0
11,1959,0
4,11137,1
8,14399,1
9,10517,1
9,16780,1
13,2225,0
2,4048,1
3,11453,1
9,7718,1
11,11100,1
12,10245,1
9,11655,1
11,6630,0
10,3860,0
7,6459,1
7,2172,0
10,12943,1
14,4255,0
5,23885,1
9,10106,1
2,1133,0
5,9158,1
2,15211,1
8,7318,1
8,22412,1
14,6340,0
9,23169,1
3,11330,1
7,23135,1
8,1090,0
9,18545,1
10,13220,1
5,3814,0
8,9860,1
7,13083,1
13,18663,1
5,9005,1
13,1954,0
8,6194,0
7,17077,1
12,10489,1
3,10583,1
9,564,0
11,12642,1
11,18660,1
3,5109,1
13,14405,1
3,814,0
4,23331,1
6,24010,1
10,20633,1
6,1396,0
8,24068,1
6,21646,1
12,7060,0
14,1620,0
7,17679,1
2,13635,1
2,22748,1
10,18119,1
8,5352,0
4,12631,1
11,21609,1
5,4547,1
3,18984,1
12,7808,0
4,8743,1
4,13280,1
4,5223,1
8,11653,1
6,17051,1
6,13120,1
14,21103,1
13,16957,1
7,7673,1
5,12490,1
6,4040,0
12,12727,1
10,10804,1
11,13282,1
13,13722,1
3,8080,1
12,12897,1
13,1414,0
9,5423,0
3,16053,1
5,21188,1
2,15282,1
3,2929,1
7,6771,1
10,20862,1
2,9746,1
11,2191,0
4,6270,1
12,22281,1
7,23494,1
7,7680,1
10,5304,0
8,6723,1
7,21827,1
6,11014,1
8,23514,1
6,3382,0
7,4523,0
6,16257,1
4,3591,1
14,18455,1
7,16513,1
6,19402,1
7,4260,0
8,23897,1
7,16221,1
9,2018,0
11,23086,1
7,14479,1
13,10082,0
2,5832,1
9,11662,1
6,21095,1
14,21877,1
2,3354,1
5,5319,1
5,2307,0
10,24224,1
10,15725,1
12,15034,1
12,3809,0
13,9888,0
13,7853,0
4,9930,1
14,23559,1
5,23378,1
8,23509,1
8,13080,1
14,3637,0
7,4779,0
10,16656,1
5,11967,1
11,10122,1
5,12930,1
9,17385,1
12,8565,0
2,5174,1
9,8955,1
2,19355,1
10,7307,0
10,10580,1
5,14953,1
10,18766,1
2,7287,1
6,14658,1
2,12389,1
9,2965,0
9,5494,0
6,12628,1
5,2938,0
13,4252,0
3,9948,1
9,5911,0
3,24454,1
13,3846,0
2,14227,1
9,13963,1
3,6701,1
9,5291,0
4,18120,1
12,4017,0
13,23496,1
14,15463,1
6,2720,0
13,17817,1
11,8315,0
11,23357,1
8,23805,1
8,14528,1
12,20995,1
4,13285,1
10,21840,1
4,7534,1
11,18609,1
3,21553,1
6,16119,1
14,11433,1
10,11179,1
2,22386,1
9,1275,0
13,13158,1
6,16878,1
7,9472,1
13,22769,1
7,1557,0
13,19041,1
9,18808,1
4,3859,1
13,16253,1
8,807,0
8,3467,0
2,19524,1
14,3470,0
2,23742,1
6,9390,1
12,5449,0
6,12805,1
2,24576,1
6,8919,1
14,2734,0
14,4232,0
14,20369,1
12,19226,1
5,2981,0
7,13881,1
2,11207,1
9,20386,1
6,11614,1
14,10093,0
7,5003,0
10,24581,1
7,1801,0
7,881,0
14,7679,0
5,4079,1
13,7210,0
2,20765,1
5,15937,1
13,3677,0
14,24287,1
14,2211,0
8,3957,0
9,21693,1
4,14653,1
13,1534,0
3,7122,1
13,16645,1
12,16417,1
14,2007,0
5,23440,1
4,11091,1
3,21741,1
7,6221,1
11,10749,1
3,18465,1
13,9974,0
10,1724,0
11,20265,1
7,9460,1
2,22663,1
7,13288,1
2,23712,1
11,854,0
13,14896,1
11,1672,0
14,3976,0
12,2532,0
4,11657,1
7,19979,1
9,12975,1
6,19732,1
8,3165,0
6,12499,1
6,17100,1
14,18712,1
9,5133,0
12,2010,0
9,4831,0
11,12856,1
13,13178,1
10,20510,1
9,9113,1
6,24402,1
10,14111,1
13,12588,1
8,19666,1
13,13042,1
3,4538,1
8,4447,0
4,725,0
6,4571,0
8,10553,1
9,11040,1
2,15464,1
5,14212,1
11,18850,1
11,18454,1
9,8513,1
6,12747,1
5,9213,1
9,11801,1
10,22664,1
9,22963,1
3,8395,1
11,1142,0
7,10659,1
2,15857,1
7,6753,1
12,23961,1
6,4313,0
8,10747,1
8,4011,0
12,6638,0
9,17930,1
13,4967,0
4,9779,1
6,16342,1
3,6162,1
11,22657,1
2,3776,1
3,6955,1
2,4894,1
6,6840,1
6,23065,1
7,7400,1
14,4068,0
11,19694,1
8,10681,1
2,12220,1
4,23805,1
14,2229,0
6,4671,0
5,9885,1
12,14562,1
9,5744,0
8,22477,1
6,16615,1
7,17236,1
11,6579,0
14,23184,1
3,13363,1
5,21462,1
9,10574,1
10,8772,1
5,569,0
4,10844,1
12,2924,0
5,1833,0
11,15119,1
13,5114,0
8,1986,0
13,8281,0
7,19877,1
9,11927,1
11,19907,1
8,8286,1
2,1092,0
12,7951,0
4,11430,1
9,7087,0
5,19477,1
7,10127,1
12,7978,0
3,21406,1
12,19424,1
4,23063,1
11,24956,1
2,9476,1
3,4047,1
10,7437,0
12,21031,1
2,9744,1
5,24666,1
8,6139,0
9,1263,0
13,5057,0
12,2326,0
13,4581,0
8,6675,1
4,13718,1
12,15172,1
14,5532,0
11,14960,1
11,819,0
9,16523,1
13,18841,1
5,10243,1
6,4499,0
14,6685,0
8,4807,0
14,6569,0
3,2896,1
7,749,0
2,1326,0
2,12831,1
3,7398,1
12,1883,0
5,2968,0
2,11747,1
8,2715,0
9,23571,1
14,21698,1
7,3770,0
14,19818,1
8,5405,0
3,24258,1
2,17535,1
10,15156,1
5,6374,1
9,18953,1
2,19802,1
12,15060,1
2,2710,1
2,21517,1
7,19486,1
10,10891,1
7,2222,0
13,9745,0
3,23019,1
9,3877,0
2,11393,1
9,4319,0
2,20274,1
2,21633,1
7,8862,1
4,3369,1
13,18576,1
4,9121,1
13,3883,0
3,7608,1
14,8768,0
10,2286,0
4,1445,0
14,13855,1
14,9504,0
13,3058,0
11,17270,1
14,10704,0
9,2358,0
14,2448,0
14,20948,1
7,21211,1
2,7047,1
9,1066,0
8,1454,0
12,6791,0
2,2722,1
7,2369,0
2,17262,1
14,2355,0
8,16079,1
13,17321,1
8,5893,0
7,17501,1
6,8820,1
4,19122,1
4,12658,1
4,16451,1
3,10739,1
6,20120,1
6,11221,1
8,20378,1
11,17565,1
8,11346,1
5,713,0
3,15391,1
13,21702,1
8,15941,1
9,8076,1
13,1517,0
4,12553,1
10,7501,0
12,5580,0
13,18519,1
2,24336,1
10,21945,1
4,12286,1
12,23465,1
7,9507,1
6,1129,0
9,3723,0
6,12741,1
8,11137,1
5,24200,1
12,9454,0
2,15736,1
4,21151,1
7,4347,0
2,1069,0
14,12502,1
4,10169,1
3,12379,1
4,1781,0
10,24030,1
13,11545,1
8,15525,1
13,7759,0
13,19269,1
14,18305,1
12,824,0
10,14782,1
7,3174,0
8,4949,0
13,1540,0
8,9632,1
4,13883,1
13,23978,1
12,3577,0
10,23010,1
2,9640,1
7,11743,1
12,23681,1
10,13002,1
10,22568,1
11,23565,1
13,17940,1
4,11123,1
11,20301,1
4,11726,1
12,15950,1
10,6061,0
10,15435,1
7,18077,1
13,19374,1
2,4080,1
7,1497,0
3,2848,1
14,13402,1
5,4986,1
12,9478,0
5,21527,1
8,15454,1
14,11784,1
14,23658,1
2,9061,1
2,8334,1
13,24042,1
13,18063,1
2,16147,1
6,23225,1
12,12332,1
10,17955,1
12,17829,1
9,6435,0
9,3422,0
4,23177,1
3,21926,1
12,8297,0
10,15326,1
5,9728,1
3,2449,1
11,16233,1
12,8254,0
12,9511,0
10,21648,1
12,12870,1
3,23589,1
5,9443,1
9,9395,1
10,24972,1
8,7198,1
4,19898,1
9,18712,1
5,11168,1
5,15492,1
8,13938,1
14,6447,0
13,14706,1
14,6850,0
7,4778,0
8,9073,1
12,17476,1
14,945,0
14,1723,0
8,19481,1
8,7921,1
6,24916,1
10,14247,1
13,23761,1
10,15404,1
6,20229,1
13,18621,1
2,446,0
10,14864,1
10,12096,1
11,5828,0
3,1505,0
8,2008,0
9,4674,0
4,6201,1
10,2949,0
6,20365,1
3,12357,1
10,24828,1
10,5988,0
3,18797,1
11,24768,1
10,24760,1
12,15811,1
4,5994,1
3,11886,1
4,21119,1
8,24095,1
5,19236,1
9,10966,1
12,8788,0
12,16611,1
14,23056,1
11,1971,0
6,21379,1
10,5345,0
8,10149,1
13,5291,0
14,10828,0
3,19168,1
12,17005,1
10,852,0
9,10702,1
4,19733,1
12,12217,1
11,7838,0
10,7547,0
7,23262,1
8,12821,1
2,7437,1
7,23782,1
11,4984,0
5,20252,1
6,5721,1
10,17881,1
14,9760,0
9,7117,0
4,7453,1
4,11983,1
5,9634,1
7,6431,1
12,23434,1
2,5154,1
5,7784,1
9,7938,1
3,3270,1
2,2030,1
5,2669,0
5,23125,1
11,19438,1
12,17171,1
9,7712,1
8,14610,1
14,14716,1
13,1216,0
8,6997,1
12,16981,1
12,21121,1
8,10565,1
8,19713,1
14,4412,0
2,15420,1
10,11710,1
11,17412,1
12,16369,1
6,17726,1
3,21356,1
2,6772,1
9,15868,1
4,23269,1
12,1895,0
6,23002,1
3,8210,1
13,12357,1
8,1310,0
9,13987,1
6,19768,1
7,23878,1
2,9693,1
14,688,0
3,6274,1
10,23177,1
12,9436,0
3,15759,1
13,19893,1
6,23389,1
13,23578,1
14,14444,1
8,10756,1
5,8985,1
9,7946,1
14,23346,1
14,10539,0
11,22014,1
7,9619,1
6,13966,1
5,5102,1
8,8482,1
3,18863,1
6,14108,1
7,14037,1
5,11356,1
8,13985,1
4,3092,0
4,7634,1
5,20881,1
8,2805,0
3,24516,1
7,4852,0
9,12387,1
2,15144,1
8,12553,1
12,9370,0
6,3384,0
13,4559,0
14,16119,1
12,6255,0
11,5200,0
6,16656,1
8,23725,1
4,7691,1
2,20217,1
11,5170,0
13,9480,0
2,21334,1
11,11240,1
10,19035,1
3,21077,1
10,8173,1
7,7741,1
12,11222,1
5,22468,1
4,8688,1
10,12419,1
11,15195,1
12,4367,0
9,14252,1
6,9047,1
7,11917,1
14,24267,1
6,21133,1
7,15928,1
2,4073,1
11,18227,1
2,22848,1
10,13509,1
6,12588,1
11,14846,1
13,14918,1
10,4599,0
6,20743,1
9,21017,1
7,6292,1
4,3300,1
2,4398,1
5,10836,1
2,10641,1
10,2737,0
2,11128,1
5,14162,1
2,19658,1
11,21182,1
7,4410,0
7,3822,0
6,11188,1
6,18449,1
4,1860,0
5,19242,1
14,22363,1
3,10294,1
3,12495,1
7,5173,0
9,24395,1
6,3560,0
9,760,0
5,5833,1
7,19000,1
8,21025,1
2,2447,1
8,24053,1
14,17156,1
10,21647,1
3,7380,1
6,7910,1
3,4835,1
3,10971,1
14,17394,1
7,12494,1
13,7635,0
13,24951,1
11,12754,1
8,4740,0
5,5144,1
11,19863,1
7,3588,0
2,5716,1
13,15272,1
3,17669,1
11,9582,1
13,4125,0
2,6381,1
4,16613,1
11,8172,0
10,9384,1
3,8963,1
6,15087,1
11,13344,1
13,17278,1
14,19485,1
2,4098,1
13,3013,0
6,23073,1
2,18206,1
13,19679,1
13,7536,0
4,15148,1
12,22788,1
12,11536,1
11,2869,0
5,802,0
13,23219,1
2,17167,1
13,16386,1
5,14815,1
11,13617,1
4,12395,1
6,11241,1
4,11727,1
3,10020,1
14,13908,1
8,1353,0
8,15585,1
11,20145,1
11,21647,1
13,7423,0
13,20580,1
10,11733,1
6,1245,0
8,23248,1
6,12699,1
14,11750,1
13,1292,0
4,11457,1
2,23445,1
6,22573,1
12,512,0
6,6506,1
4,12388,1
8,20309,1
14,9846,0
12,20159,1
2,12342,1
8,13868,1
11,23049,1
10,24771,1
13,10325,0
10,21667,1
14,18656,1
5,6262,1
13,8313,0
5,20573,1
12,3797,0
10,5147,0
13,4068,0
13,21884,1
6,3185,0
13,6969,0
11,12641,1
8,16487,1
13,10427,1
7,19892,1
4,22967,1
2,24905,1
9,8184,1
7,22460,1
11,6327,0
13,6791,0
4,3960,1
4,9510,1
2,15112,1
3,21176,1
6,9979,1
9,23800,1
10,5410,0
2,6194,1
13,2261,0
8,7262,1
5,23013,1
6,12720,1
7,16490,1
5,5389,1
4,20787,1
11,23066,1
2,16288,1
10,14887,1
10,18925,1
8,10799,1
6,4506,0
10,23450,1
4,15703,1
14,13228,1
4,10477,1
9,13413,1
3,12506,1
3,13872,1
11,6681,0
3,918,0
11,11083,1
12,23351,1
12,21236,1
